Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Location,About Company,Investors,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022,Revenue 2023
Emojifi,2018,2017.0,Internet,Seed,1331437.31,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Unknown,1597541.3853742548,2460680.608223796,2555300.946373694,2473414.7697659596,2680476.5219404465,3182266.932784054
Flock,2018,2017.0,Apps,Seed,893169.32,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Unknown,1318189.180790562,1532223.1243006324,1666572.9883377384,1784220.2334175853,1601360.4905343351,2177374.977157603
Freshboxx,2018,2017.0,Food Delivery,Seed,1326806.41,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Unknown,2126826.281188568,1743738.0441624403,2051595.629223633,2127662.7103160936,2427024.069502585,2852342.215050951
Wide Mobility Mechatronics,2018,2017.0,Industrial Automation,Seed,688465.47,"Bengaluru, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,Unknown,847096.302429008,1307636.9347610776,1010532.956005545,1239868.61537274,1226087.2402790154,1517132.7582293786
Pitstop,2018,2017.0,Automotive,Seed,916340.72,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Unknown,1174089.4449932403,1289338.1274381352,1379650.7676443493,1525054.3570138405,1683657.6390366675,1728110.415011324
Mihuru,2018,2017.0,Finance,Seed,873878.93,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,Unknown,1447291.0777873073,1199000.3695282901,1645371.1536703438,1475105.3910648236,1890167.5115198353,2100217.18317243
Fyle,2018,2017.0,Accounting,Seed,1449752.07,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,Unknown,1682523.82055243,2352587.253045251,2810516.306155137,2768030.641325278,3057217.778832452,3579014.5237989575
AppWharf,2018,2017.0,Artificial Intelligence,Seed,1794370.54,"New New Delhi, New Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Unknown,2104838.008326298,2490371.3330567945,3371042.2285676147,3210343.8438390903,3776798.263070116,3285660.1615708037
Antariksh Waste Ventures Pvt ltd,2018,2017.0,Internet of Things,Seed,984903.94,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,Unknown,1367764.9261777273,1850224.3512549712,1700157.163672802,1521189.6029707552,2002558.2388584723,2063693.5231553467
PaisaDukan,2018,2017.0,Financial Services,Seed,1891265.45,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,Unknown,2882841.421972609,3066718.069716065,3271246.894772563,3473879.354830106,3723388.354333136,4482762.086630722
Sleepy Owl Coffee,2018,2017.0,Food and Beverage,Seed,1984232.08,"New New Delhi, New Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Unknown,3215296.073264786,2828342.2975705494,3621313.8029272244,3348174.5367491506,3492616.775660453,4084427.5721389065
BlueJack,2018,2017.0,Autonomous Vehicles,Seed,1255541.48,"New Delhi, New Delhi, India",Delhi-based online used vehicles marketplace.,Unknown,1874388.5330619959,1987896.6080666315,2256955.5827191104,2344023.911133544,2216174.5979761854,2890726.467755108
PregBuddy,2018,2017.0,Enterprise Software,Seed,836997.97,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,Unknown,1420006.893074487,1184298.9813350094,1449198.4332288064,1357339.5252001437,1526782.547151426,1717144.1773606625
AgNext Technologies,2018,2017.0,Agriculture,Series A,829735.39,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Unknown,846459.2978169034,1155894.771529005,1452785.1973396726,1616986.377135474,1388343.3109829228,1968218.2387547377
Mintifi,2018,2017.0,Financial Services,Seed,1567448.14,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,Unknown,2378402.019520284,2284894.511556391,2316150.077060887,2954400.0658425316,2688043.9095859495,3789524.6780115822
Carcrew,2018,2017.0,Automotive,Seed,1233462.61,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,Unknown,2059546.377567237,2095365.1525708663,2420507.4043310415,2134141.729969984,2181368.671805794,2618028.6613248023
NicheAI,2018,2017.0,Artificial Intelligence,Angel,561376.68,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,Unknown,866506.4525889944,762177.5757342547,906681.8757947957,919463.028704778,1021013.6414388168,1030985.18372352
Chariot Tech,2018,2017.0,Internet of Things,Seed,1429249.63,"New New Delhi, New Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Unknown,1561883.2360378848,2289138.9478482422,2192985.8943124223,2989592.0878706444,2969100.2467383877,3374432.281466201
Ideal Insurance Brokers/ 121Policy.com,2018,2017.0,Insurance,Seed,1484743.5,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,Unknown,1584386.9792202434,2657422.383596721,2417186.8043148564,2392576.866521005,3144024.364884348,2940674.1545064095
Loanzen,2018,2017.0,Financial Services,Seed,1578351.2,"Bengaluru, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Unknown,2147123.8635922014,2617273.0787505372,3056563.8904766473,2380887.6842755126,3101039.868925589,3232709.964324657
Mojro Technologies,2018,2017.0,Information Technology,Seed,1119188.56,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,Unknown,1739784.2667958206,1599697.8454696918,1687889.4399539377,1919265.6809574175,2187572.1442270256,2274815.5411149594
Elemential,2018,2017.0,Blockchain,Seed,1992265.07,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",Unknown,3101858.925583565,3640476.09092512,3105311.4762758166,3228117.5713506476,3195983.9520823043,3793016.2243973487
Yumlane,2018,2017.0,Food and Beverage,Series A,1948934.47,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,Unknown,3247347.0885626096,2651837.4603202483,3574772.837935562,3482588.8399509764,3743921.0705344575,4287008.287467451
Kriger Campus,2018,2017.0,Education,Seed,854150.5,"New New Delhi, New Delhi, India",A Education Start Up.,Unknown,1115001.1740567354,1193989.2801319251,1580064.708783865,1685266.7622785422,1771758.4245513857,2080435.0646525947
Kaleidofin,2018,2017.0,Financial Services,Seed,1070719.2,"Chennai, Tamil Nadu, India",A fintech platform.,Unknown,1203610.2583128714,1741472.8367752964,1780236.8509945138,1939421.7598367874,2069562.6774870807,2493667.645226988
Chakr Innovation,2018,2017.0,Renewable Energy,Seed,1749058.46,"New New Delhi, New Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,Unknown,2117127.7771237288,2737151.5084408345,3140694.479826672,3037339.726699076,3301820.9186986764,3720885.0205837763
IndigoLearn,2018,2017.0,E-Learning,Seed,1979145.98,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,Unknown,2313948.7149178903,2775092.8138212194,3326097.1273909598,4130675.020542012,4291190.450619831,3810220.6348738326
UClean,2018,2017.0,Clean Energy,Seed,1224788.4,"India, Asia",UClean is a tech enabled laundry service provider.,Unknown,1806669.28735228,1716970.8136737815,2162134.088683801,2027798.569763793,2408313.941487829,2733005.5688302647
Coutloot,2018,2017.0,E-Commerce,Seed,916134.53,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,Unknown,963570.8208710591,1364589.8829652003,1570224.3685010506,1451976.3016619377,1885771.460961137,1748784.6477106905
Letstrack,2018,2017.0,Apps,Seed,1301064.51,"New New Delhi, New Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",Unknown,1556686.5429305697,2391356.4803674435,1958127.5209599952,1998960.345811851,2761464.755285951,2999357.295203816
Pooltoo,2018,2017.0,Transportation,Seed,1149493.06,"New New Delhi, New Delhi, India",Pooltoo offers a premium ride sharing platform.,Unknown,1696403.5498047846,1518439.1225512878,1846810.5876617876,2071835.6585888874,2222462.921866652,2324735.676352686
Finzy,2018,2017.0,Financial Services,Seed,683107.18,"Bengaluru, Karnataka, India",finzy is the premier peer to peer lending solution in India.,Unknown,1070044.363032133,965614.0272733666,1049940.2929075006,1073549.269336554,1341491.1295152735,1566035.581409403
Fitternity,2018,2017.0,Fitness,Seed,1932714.02,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Unknown,3129443.2607331183,2792932.5101521146,3748323.6983509357,3744152.724685269,4017800.937498925,3861831.972847841
Keito,2018,2017.0,Artificial Intelligence,Seed,582640.18,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,Unknown,817376.1068164009,836000.011459549,816680.1757507237,1206231.9468478845,1063454.4716740854,1272002.3972920838
Tolet for Students,2018,2017.0,Hospitality,Seed,1101772.67,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",Unknown,1229805.9588511211,1847181.7503723209,1778783.5835872495,2031585.174354895,2301644.7918900186,2300331.9863780327
Chai Kings,2018,2017.0,Food and Beverage,Seed,1278506.6,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,Unknown,1922454.4631833388,2190857.656846199,2504490.289434635,2574322.110711618,2278761.7927516727,2611531.1706124563
ONGO Framework,2018,2017.0,B2B,Angel,947866.51,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,Unknown,1407825.850740507,1323526.6533426796,1850869.9444380754,1934429.0850226555,2043487.525834859,2004950.1306483394
Notesgen,2018,2017.0,EdTech,Seed,1716238.53,"New New Delhi, New Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,Unknown,1971442.2910315357,2477650.0818975526,2954455.6066801064,3026584.553615214,3640430.0464367145,3698896.2184032747
Arogya MedTech,2018,2017.0,Health Care,Seed,1488116.73,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,Unknown,1828986.449457876,2259687.256549418,2116403.6768349414,2898671.942119321,3106355.2416959214,3066425.793038426
Propshop24,2018,2017.0,E-Commerce,Seed,1329043.56,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Unknown,2255217.8473876747,1793822.1487404294,2135746.102234111,2349044.8468789496,2197089.312538048,2650474.929521843
myUpchar,2018,2017.0,Health Care,Series A,817952.19,"New New Delhi, New Delhi, India",To bring health issues to people in their language.,Unknown,1058573.2988065588,1253325.9042796374,1475240.6635732274,1545895.9565522214,1735957.7410838136,1499730.2747580104
MissMalini Entertainment,2018,2017.0,—,Seed,1718196.35,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",Unknown,1792750.9515220958,2335884.5575371515,3092148.052672768,2702726.079115166,3738129.2120005987,3373134.1733962595
Rooter,2018,2017.0,Sports,Seed,1472205.58,"India, Asia",Rooter is a mobile-based platform,Unknown,2195466.225391819,2394390.1170892925,2324266.5472698133,2867157.105409031,2658970.230694336,3675983.9023349728
ZestMoney,2018,2017.0,Big Data,Series A,1734710.14,"Bengaluru, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,Unknown,2770146.350759743,2825825.8385318033,3088477.6588657023,3138681.281685511,3000191.7666717134,3878848.7620586664
alphaics Corporation,2018,2017.0,Cloud Computing,Seed,1703445.9,"Bengaluru, Karnataka, India",Advancing AI compute,Unknown,1771509.6441530674,2373638.1543524233,3049405.0209367,2776140.274536632,2908190.7491424186,4136248.392966551
MyDentistChoice,2018,2017.0,Health Care,Seed,587818.58,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Unknown,950860.4570151076,925351.3732211301,912740.1450824105,987287.2664454564,1112414.0935832825,1252158.6398404953
Sensibull,2018,2014.0,Trading Platform,Seed,1906376.21,"Bengaluru, Karnataka, India",Investment Management Platform,Unknown,2024659.3419316723,3454051.2439067587,3264019.128290998,3374897.898365589,3930546.078462297,3991998.044930626
Bombay Shaving Company,2018,2017.0,Consumer Goods,Series A,1235366.93,"New New Delhi, New Delhi, India",Bombay Shaving Company is a Men's grooming startup,Unknown,1933243.2187214976,1875474.2460089233,1816388.61829238,2134884.447271504,2280900.4514445406,2974973.941511399
MedCords,2018,2014.0,Wellness,Seed,569169.66,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Unknown,714355.3377110073,841951.5993524706,1029937.1883250432,988754.8304880934,944325.446179153,1201048.8223054253
University Living,2018,2017.0,Education,Seed,1156355.15,"New New Delhi, New Delhi, India",University Living is an online global student housing marketplace.,Unknown,1181984.802769553,2082251.7069272976,2037008.054389389,2302529.9693822763,2260432.0588276484,2114939.2429737733
&ME,2018,2014.0,Food and Beverage,Seed,1255603.32,"Bengaluru, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Unknown,1538479.8844235756,1640007.0793666441,2059990.0612949452,2544791.097179076,2631869.0315940855,2538781.6784270536
Enakshi,2018,2004.0,Fashion,Seed,584563.66,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,Unknown,624679.1807363046,1010206.129327605,1091828.009908924,1152895.7823714449,1004018.2326001878,1127580.4025743022
Ultraviolette Automotive,2018,2017.0,Automotive,Series A,1662152.32,"Bengaluru, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Unknown,2664868.897977672,3013216.43156847,3014329.575964348,3105651.643309014,3484176.992341413,3752776.7313099313
BUGWORKS Research India,2018,2013.0,Biotechnology,Series A,1658847.39,"Bengaluru, Karnataka, India",BUGWORKS is a drug discovery company.,Unknown,2082145.0225267906,2302433.137297102,2772038.3113912377,3046453.989208399,2675573.946790605,3835396.1476271655
Guardian.in,2018,2017.0,Health Care,Seed,1574594.85,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Unknown,2411576.646484298,2930361.4822392664,3011380.2679642634,2721442.2964482736,3396828.792152101,3904998.807782092
PrestLoans,2018,2010.0,Credit,Seed,648566.49,"New New Delhi, New Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",Unknown,666755.8938498835,1156055.3637654595,1050764.3222284177,1285999.4425067753,1116319.6410480158,1329041.266551166
Wimoxez,2018,2010.0,Internet,Seed,1777290.06,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",Unknown,1914381.123628068,2690102.3195427763,3079969.947468854,3033502.8730209726,3395921.4619860994,3380185.8572327713
India Accelerator,2018,2017.0,Communities,Angel,778534.63,"Gurugram, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,Unknown,906900.0611760758,1105184.2740989295,1213233.9530948494,1217082.6284566554,1356024.8674386183,1767113.8108019168
HappyEMI,2018,2018.0,Consumer,Seed,1292861.01,"Bengaluru, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,Unknown,1308558.8563080684,2022321.5467345512,2166550.247712858,2690272.5128713315,2506945.939972668,2742626.9125767504
Wishup,2018,2019.0,Consumer Applications,Seed,568169.11,"Azadpur, New Delhi, India",Premium Personal Assistance service,Unknown,602309.0455780833,873582.1074259969,1108970.5292443766,905577.4364530016,947226.829873517,1404748.2530486914
Hansel.io,2018,2017.0,Mobile,Series A,1636773.89,"Bengaluru, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",Unknown,2631997.4714539945,2693200.7652513483,2504238.566341555,2646728.972808398,3449843.8487233906,3084338.951178339
Propelld,2018,2017.0,Education,Seed,1679724.74,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,Unknown,1717094.615991409,3118249.4482401456,2413775.061906982,3275634.831645145,3244513.700379202,3715105.8482532925
PivotRoots,2018,2011.0,Advertising,Series A,1879712.69,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,Unknown,3050358.4615294277,2710064.8232004438,2903267.359068399,3149797.713200854,4061657.7042664685,3947790.441803962
ZiffyHomes,2018,2015.0,Marketplace,Seed,1552561.69,"New New Delhi, New Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,Unknown,1889265.0241607022,2129756.7466793773,2474474.3970880257,2955986.0492329523,3201307.3416897617,3306056.388563092
Carmesi,2018,2014.0,Health Care,Seed,536159.87,"Gurugram, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,Unknown,775471.6166914848,791252.8486898917,914888.9860737632,1014696.937157709,1065977.563628387,1266674.0799453345
OckyPocky,2018,2018.0,E-Learning,Angel,1858533.74,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,Unknown,2732535.5107213412,3338069.8028279883,3164335.7956397086,2848838.2397487075,3581947.4718914637,3443104.13296844
Racetrack,2018,2015.0,Artificial Intelligence,Seed,649565.19,"Bengaluru, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",Unknown,1086413.7864622024,1108073.0403407523,1050969.442365821,1117556.4218571044,1305593.2267880423,1532103.290146516
WHR,2018,2018.0,Health Care,Seed,1745297.98,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",Unknown,2539133.5496105803,2827640.1928040422,3061107.73620021,2953616.008847797,3829247.7522199755,4179534.7685267185
Asteria Aerospace,2018,2013.0,Aerospace,Seed,959801.61,"Bengaluru, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,Unknown,1551062.7462986184,1580241.9592494904,1918138.4075224127,1645704.3586703101,2047746.375041445,2057127.2144063038
FabAlley,2018,2018.0,E-Commerce,Series B,956423.84,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",Unknown,1363874.9775220111,1688137.9976437017,1670812.290414067,1950714.222421827,1783099.580921345,1784736.7500445156
Tranzmeo,2018,2014.0,Artificial Intelligence,Pre-Seed,953744.07,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,Unknown,1451273.3127243998,1750121.752429226,1809510.8546601383,1942583.3111275437,1687395.8233259935,2231157.7360785604
SBI Life,2018,2019.0,Insurance,Private Equity,1521321.04,"Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,Unknown,2037915.682269069,2674670.9485877575,2285606.800826472,2598729.708812577,2684017.3253794564,3560126.0036330298
Studds Accessories,2018,2017.0,E-Commerce,Private Equity,1450953.48,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,Unknown,1533251.897095638,2180648.3297587656,2616387.4470266458,2428308.633475466,2607529.571714888,3323189.5138517055
Design Cafe,2018,2017.0,Home Decor,Series B,1484874.23,"Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",Unknown,1953503.0673035951,2221280.64346492,2716883.374048651,2449697.3780122534,3258332.946850346,3021875.446568987
NoPaperForms Solutions Pvt. Ltd.,2018,2015.0,EdTech,Series B,1052222.26,"New New Delhi, New Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",Unknown,1253139.8507389138,1922580.8435209424,2098351.3228470734,1647411.1291620473,2253444.5727781737,2193966.1043378846
Rays Power Infra,2018,2019.0,Energy,Venture - Series Unknown,864592.32,"Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,Unknown,1443652.8494171756,1250455.565876945,1578210.467369262,1403791.6527484911,1880036.804942517,1904641.6826290432
AuthMetrik,2018,2017.0,B2B,Grant,798417.99,"Gurugram, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",Unknown,1107235.3115523164,1125538.507559685,1197591.1486535189,1674931.5614406043,1668946.4835774025,1739207.0326274387
Khidki,2018,2017.0,Artificial Intelligence,Seed,1460322.54,"Bengaluru, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,Unknown,1849908.6095096008,2761546.1778673646,2080388.924915957,2502416.1850880263,3095167.903249992,3595969.4642163664
LetsTransport,2018,2014.0,Logistics,Series B,816260.85,"Bengaluru, Karnataka, India",Lets transport is a logistics solution provider.,Unknown,1070207.4083977311,1504669.1667788706,1378986.7316549818,1709664.1789431407,1328588.8749251573,1967138.9546057922
Next Digital Solutions,2018,2011.0,Digital Marketing,Angel,1379116.91,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,Unknown,1525597.2354889463,2249814.1692865263,2347194.7638728297,2579221.3946342976,2920773.298889112,3317544.8687900244
Portea Medical,2018,2014.0,Health Care,Debt Financing,667197.1,"Bengaluru, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,Unknown,761147.4644702488,1102823.7763988767,1017211.9173116669,1063280.964200503,1281068.3512309243,1494859.0783414196
Aavas Financiers,2018,2017.0,Finance,Post-IPO Debt,705618.4,"Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",Unknown,984289.4665838432,1073854.4860011195,1251631.5053546512,1128723.905857291,1373078.9527337067,1503570.506819023
Swiggy,2018,2018.0,Food Delivery,Series H,1572549.02,"Bengaluru, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,Unknown,2267187.7733152304,2790651.840422266,2614579.8808346894,2502922.8010705886,3153935.5011897436,3730201.156025696
Milkbasket,2018,2017.0,E-Commerce,Series A,1300882.86,"Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",Unknown,1836521.0806627457,2186432.9358697305,2077945.9511520849,2695432.1872778144,2166538.708761427,2635954.8508554767
Nutrisattva (Proliva),2018,2016.0,Fitness,Angel,597452.74,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,Unknown,683403.5837919366,791119.4688287918,1172883.0503923472,1225863.847122265,1058873.8389820093,1149765.6361019034
Toppr,2018,2013.0,EdTech,Series C,955947.54,"Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,Unknown,1496522.6708166464,1718425.264830494,1728376.75533964,1571656.472122187,1873896.0087090991,2277563.390691296
Vivriti Capital,2018,2015.0,Financial Services,Venture - Series Unknown,559316.72,"Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,Unknown,672713.5799329935,969559.7204098211,1110919.065352701,1147740.032742325,1017377.3520791712,1257094.328120262
Impact Guru,2018,2016.0,Creative Agency,Series A,997731.28,"Mumbai, Maharashtra, India","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",Unknown,1210450.340227944,1673668.6860292503,1494380.9461951917,1686921.0175281838,1712738.9069137722,2407635.4675458395
MobiKwik,2018,2014.0,Consumer Lending,Series E,1343845.49,"Gurugram, Haryana, India",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,Unknown,1383257.3974659028,2021115.1325403827,2602473.8412405336,2752365.296017045,2256274.348925755,3124175.155703136
Stones2Milestones,2018,2014.0,E-Learning,Seed,1268021.41,"Gurugram, Haryana, India",Stones2milestones is a Gurgaon Based Learning Company.,Unknown,2095103.0850567631,2012077.5461536995,2381465.2741443706,1933734.4026600006,2731259.81557803,2737578.14755341
Generico,2018,2015.0,Health Care,Series A,803876.18,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,Unknown,1033361.8918541459,1099630.2245510167,1485563.5212593672,1630652.0800858736,1328782.0922048804,1508795.5961160527
Adiuvo Diagnostics,2018,2016.0,Health Diagnostics,Seed,872328.27,"Chennai, Tamil Nadu, India",Adiuvo Diagnostics is a medical diagnostic device company based in India.,Unknown,893588.4496422162,1621951.3689066735,1318065.0113209572,1460447.792273916,1820220.6211037629,1928920.2831838666
DataTrained,2018,2011.0,EdTech,Seed,1200415.36,"Bengaluru, Karnataka, India","DataTrained is a educational platform, which operates an ed-tech startup on data science",Unknown,1478559.7934316448,1963922.6687079181,1924453.5693634243,2145982.2488994813,2311466.7717466075,2187099.007287471
OneAssist,2018,2016.0,Financial Services,Debt Financing,1915839.31,"Mumbai, Maharashtra, India",OneAssist is a protection & assistance services platform.,Unknown,2155643.7525630197,2672411.218931452,3597450.9232312054,3066727.3013761984,4010525.428107753,3973701.34098847
