Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Location,About Company,Investors,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022,Revenue 2023
AgNext Technologies,2018,2017.0,Agriculture,Series A,829735.39,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Unknown,846459.2978169030,1155894.771529010,1452785.1973396700,1616986.377135470,1388343.3109829200,1968218.2387547400
Mintifi,2018,2017.0,Financial Services,Seed,1567448.14,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,Unknown,2378402.019520280,2284894.511556390,2316150.077060890,2954400.0658425300,2688043.9095859500,3789524.6780115800
Carcrew,2018,2017.0,Automotive,Seed,1233462.61,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,Unknown,2059546.377567240,2095365.1525708700,2420507.4043310400,2134141.729969980,2181368.671805790,2618028.6613248000
NicheAI,2018,2017.0,Artificial Intelligence,Angel,561376.68,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,Unknown,866506.4525889940,762177.5757342550,906681.8757947960,919463.028704778,1021013.6414388200,1030985.18372352
Chariot Tech,2018,2017.0,Internet of Things,Seed,1429249.63,"New New Delhi, New Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Unknown,1561883.2360378800,2289138.9478482400,2192985.8943124200,2989592.0878706400,2969100.2467383900,3374432.281466200
Ideal Insurance Brokers/ 121Policy.com,2018,2017.0,Insurance,Seed,1484743.5,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,Unknown,1584386.9792202400,2657422.383596720,2417186.8043148600,2392576.866521010,3144024.364884350,2940674.1545064100
Loanzen,2018,2017.0,Financial Services,Seed,1578351.2,"Bengaluru, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Unknown,2147123.8635922000,2617273.0787505400,3056563.8904766500,2380887.6842755100,3101039.868925590,3232709.964324660
Mojro Technologies,2018,2017.0,Information Technology,Seed,1119188.56,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,Unknown,1739784.2667958200,1599697.8454696900,1687889.4399539400,1919265.6809574200,2187572.1442270300,2274815.5411149600
Elemential,2018,2017.0,Blockchain,Seed,1992265.07,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",Unknown,3101858.925583570,3640476.09092512,3105311.4762758200,3228117.5713506500,3195983.9520823000,3793016.2243973500
Yumlane,2018,2017.0,Food and Beverage,Series A,1948934.47,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,Unknown,3247347.0885626100,2651837.4603202500,3574772.837935560,3482588.8399509800,3743921.0705344600,4287008.287467450
Kriger Campus,2018,2017.0,Education,Seed,854150.5,"New New Delhi, New Delhi, India",A Education Start Up.,Unknown,1115001.1740567400,1193989.2801319300,1580064.708783870,1685266.7622785400,1771758.4245513900,2080435.0646525900
Kaleidofin,2018,2017.0,Financial Services,Seed,1070719.2,"Chennai, Tamil Nadu, India",A fintech platform.,Unknown,1203610.2583128700,1741472.8367753000,1780236.8509945100,1939421.7598367900,2069562.6774870800,2493667.645226990
Chakr Innovation,2018,2017.0,Renewable Energy,Seed,1749058.46,"New New Delhi, New Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,Unknown,2117127.7771237300,2737151.5084408300,3140694.479826670,3037339.726699080,3301820.9186986800,3720885.0205837800
IndigoLearn,2018,2017.0,E-Learning,Seed,1979145.98,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,Unknown,2313948.7149178900,2775092.8138212200,3326097.1273909600,4130675.020542010,4291190.450619830,3810220.6348738300
UClean,2018,2017.0,Clean Energy,Seed,1224788.4,"India, Asia",UClean is a tech enabled laundry service provider.,Unknown,1806669.28735228,1716970.8136737800,2162134.088683800,2027798.569763790,2408313.941487830,2733005.5688302600
Coutloot,2018,2017.0,E-Commerce,Seed,916134.53,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,Unknown,963570.8208710590,1364589.8829652000,1570224.3685010500,1451976.3016619400,1885771.460961140,1748784.6477106900
Letstrack,2018,2017.0,Apps,Seed,1301064.51,"New New Delhi, New Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",Unknown,1556686.5429305700,2391356.4803674400,1958127.5209600000,1998960.345811850,2761464.755285950,2999357.295203820
Pooltoo,2018,2017.0,Transportation,Seed,1149493.06,"New New Delhi, New Delhi, India",Pooltoo offers a premium ride sharing platform.,Unknown,1696403.5498047800,1518439.1225512900,1846810.5876617900,2071835.6585888900,2222462.921866650,2324735.676352690
Finzy,2018,2017.0,Financial Services,Seed,683107.18,"Bengaluru, Karnataka, India",finzy is the premier peer to peer lending solution in India.,Unknown,1070044.363032130,965614.0272733670,1049940.2929075000,1073549.269336550,1341491.1295152700,1566035.581409400
Fitternity,2018,2017.0,Fitness,Seed,1932714.02,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Unknown,3129443.2607331200,2792932.5101521100,3748323.6983509400,3744152.724685270,4017800.937498930,3861831.972847840
Keito,2018,2017.0,Artificial Intelligence,Seed,582640.18,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,Unknown,817376.1068164010,836000.011459549,816680.1757507240,1206231.9468478800,1063454.4716740900,1272002.3972920800
Tolet for Students,2018,2017.0,Hospitality,Seed,1101772.67,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",Unknown,1229805.9588511200,1847181.7503723200,1778783.5835872500,2031585.174354900,2301644.7918900200,2300331.9863780300
Chai Kings,2018,2017.0,Food and Beverage,Seed,1278506.6,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,Unknown,1922454.4631833400,2190857.656846200,2504490.289434640,2574322.110711620,2278761.7927516700,2611531.1706124600
ONGO Framework,2018,2017.0,B2B,Angel,947866.51,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,Unknown,1407825.850740510,1323526.6533426800,1850869.9444380800,1934429.0850226600,2043487.525834860,2004950.1306483400
Notesgen,2018,2017.0,EdTech,Seed,1716238.53,"New New Delhi, New Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,Unknown,1971442.2910315400,2477650.0818975500,2954455.6066801100,3026584.553615210,3640430.0464367100,3698896.2184032700
Arogya MedTech,2018,2017.0,Health Care,Seed,1488116.73,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,Unknown,1828986.449457880,2259687.256549420,2116403.6768349400,2898671.942119320,3106355.2416959200,3066425.793038430
Propshop24,2018,2017.0,E-Commerce,Seed,1329043.56,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Unknown,2255217.8473876700,1793822.1487404300,2135746.102234110,2349044.8468789500,2197089.312538050,2650474.929521840
myUpchar,2018,2017.0,Health Care,Series A,817952.19,"New New Delhi, New Delhi, India",To bring health issues to people in their language.,Unknown,1058573.2988065600,1253325.9042796400,1475240.6635732300,1545895.9565522200,1735957.7410838100,1499730.2747580100
MissMalini Entertainment,2018,2017.0,—,Seed,1718196.35,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",Unknown,1792750.9515221000,2335884.5575371500,3092148.052672770,2702726.079115170,3738129.2120006000,3373134.1733962600
Rooter,2018,2017.0,Sports,Seed,1472205.58,"India, Asia",Rooter is a mobile-based platform,Unknown,2195466.225391820,2394390.1170892900,2324266.5472698100,2867157.105409030,2658970.230694340,3675983.9023349700
ZestMoney,2018,2017.0,Big Data,Series A,1734710.14,"Bengaluru, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,Unknown,2770146.350759740,2825825.8385318000,3088477.6588657000,3138681.281685510,3000191.7666717100,3878848.7620586700
alphaics Corporation,2018,2017.0,Cloud Computing,Seed,1703445.9,"Bengaluru, Karnataka, India",Advancing AI compute,Unknown,1771509.6441530700,2373638.1543524200,3049405.0209367,2776140.274536630,2908190.7491424200,4136248.392966550
MyDentistChoice,2018,2017.0,Health Care,Seed,587818.58,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Unknown,950860.4570151080,925351.3732211300,912740.1450824110,987287.2664454560,1112414.0935832800,1252158.6398405000
Sensibull,2018,2014.0,Trading Platform,Seed,1906376.21,"Bengaluru, Karnataka, India",Investment Management Platform,Unknown,2024659.3419316700,3454051.2439067600,3264019.128291000,3374897.898365590,3930546.078462300,3991998.044930630
Bombay Shaving Company,2018,2017.0,Consumer Goods,Series A,1235366.93,"New New Delhi, New Delhi, India",Bombay Shaving Company is a Men's grooming startup,Unknown,1933243.2187215000,1875474.2460089200,1816388.61829238,2134884.447271500,2280900.4514445400,2974973.941511400
MedCords,2018,2014.0,Wellness,Seed,569169.66,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Unknown,714355.3377110070,841951.5993524710,1029937.1883250400,988754.8304880930,944325.446179153,1201048.8223054300
University Living,2018,2017.0,Education,Seed,1156355.15,"New New Delhi, New Delhi, India",University Living is an online global student housing marketplace.,Unknown,1181984.802769550,2082251.7069273000,2037008.054389390,2302529.9693822800,2260432.0588276500,2114939.2429737700
&ME,2018,2014.0,Food and Beverage,Seed,1255603.32,"Bengaluru, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Unknown,1538479.8844235800,1640007.0793666400,2059990.0612949500,2544791.097179080,2631869.0315940900,2538781.6784270500
Enakshi,2018,2004.0,Fashion,Seed,584563.66,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,Unknown,624679.1807363050,1010206.129327610,1091828.009908920,1152895.7823714400,1004018.2326001900,1127580.4025743000
Ultraviolette Automotive,2018,2017.0,Automotive,Series A,1662152.32,"Bengaluru, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Unknown,2664868.897977670,3013216.43156847,3014329.575964350,3105651.643309010,3484176.992341410,3752776.7313099300
BUGWORKS Research India,2018,2013.0,Biotechnology,Series A,1658847.39,"Bengaluru, Karnataka, India",BUGWORKS is a drug discovery company.,Unknown,2082145.0225267900,2302433.137297100,2772038.3113912400,3046453.989208400,2675573.946790610,3835396.1476271700
Guardian.in,2018,2017.0,Health Care,Seed,1574594.85,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Unknown,2411576.646484300,2930361.4822392700,3011380.2679642600,2721442.2964482700,3396828.792152100,3904998.807782090
PrestLoans,2018,2010.0,Credit,Seed,648566.49,"New New Delhi, New Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",Unknown,666755.8938498840,1156055.3637654600,1050764.3222284200,1285999.4425067800,1116319.6410480200,1329041.266551170
Wimoxez,2018,2010.0,Internet,Seed,1777290.06,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",Unknown,1914381.123628070,2690102.3195427800,3079969.947468850,3033502.8730209700,3395921.4619861000,3380185.8572327700
India Accelerator,2018,2017.0,Communities,Angel,778534.63,"Gurugram, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,Unknown,906900.0611760760,1105184.2740989300,1213233.9530948500,1217082.6284566600,1356024.8674386200,1767113.8108019200
HappyEMI,2018,2018.0,Consumer,Seed,1292861.01,"Bengaluru, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,Unknown,1308558.8563080700,2022321.5467345500,2166550.247712860,2690272.5128713300,2506945.939972670,2742626.9125767500
Wishup,2018,2019.0,Consumer Applications,Seed,568169.11,"Azadpur, New Delhi, India",Premium Personal Assistance service,Unknown,602309.0455780830,873582.1074259970,1108970.5292443800,905577.4364530020,947226.829873517,1404748.2530486900
Hansel.io,2018,2017.0,Mobile,Series A,1636773.89,"Bengaluru, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",Unknown,2631997.4714539900,2693200.7652513500,2504238.566341560,2646728.972808400,3449843.8487233900,3084338.951178340
Propelld,2018,2017.0,Education,Seed,1679724.74,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,Unknown,1717094.615991410,3118249.4482401500,2413775.061906980,3275634.831645150,3244513.700379200,3715105.8482532900
PivotRoots,2018,2011.0,Advertising,Series A,1879712.69,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,Unknown,3050358.4615294300,2710064.8232004400,2903267.359068400,3149797.713200850,4061657.7042664700,3947790.441803960
ZiffyHomes,2018,2015.0,Marketplace,Seed,1552561.69,"New New Delhi, New Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,Unknown,1889265.0241607000,2129756.7466793800,2474474.3970880300,2955986.0492329500,3201307.3416897600,3306056.388563090
Carmesi,2018,2014.0,Health Care,Seed,536159.87,"Gurugram, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,Unknown,775471.6166914850,791252.8486898920,914888.9860737630,1014696.937157710,1065977.563628390,1266674.0799453300
OckyPocky,2018,2018.0,E-Learning,Angel,1858533.74,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,Unknown,2732535.5107213400,3338069.8028279900,3164335.7956397100,2848838.2397487100,3581947.4718914600,3443104.13296844
Racetrack,2018,2015.0,Artificial Intelligence,Seed,649565.19,"Bengaluru, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",Unknown,1086413.7864622000,1108073.0403407500,1050969.442365820,1117556.4218571000,1305593.2267880400,1532103.290146520
WHR,2018,2018.0,Health Care,Seed,1745297.98,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",Unknown,2539133.5496105800,2827640.1928040400,3061107.73620021,2953616.008847800,3829247.7522199800,4179534.7685267200
Asteria Aerospace,2018,2013.0,Aerospace,Seed,959801.61,"Bengaluru, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,Unknown,1551062.7462986200,1580241.9592494900,1918138.4075224100,1645704.3586703100,2047746.375041450,2057127.2144063000
FabAlley,2018,2018.0,E-Commerce,Series B,956423.84,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",Unknown,1363874.9775220100,1688137.9976437000,1670812.290414070,1950714.222421830,1783099.580921350,1784736.7500445200
Tranzmeo,2018,2014.0,Artificial Intelligence,Pre-Seed,953744.07,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,Unknown,1451273.3127244000,1750121.752429230,1809510.8546601400,1942583.3111275400,1687395.8233259900,2231157.7360785600
SBI Life,2018,2019.0,Insurance,Private Equity,1521321.04,"Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,Unknown,2037915.682269070,2674670.9485877600,2285606.800826470,2598729.708812580,2684017.3253794600,3560126.0036330300
Studds Accessories,2018,2017.0,E-Commerce,Private Equity,1450953.48,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,Unknown,1533251.897095640,2180648.3297587700,2616387.4470266500,2428308.633475470,2607529.571714890,3323189.5138517100
Design Cafe,2018,2017.0,Home Decor,Series B,1484874.23,"Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",Unknown,1953503.0673036000,2221280.64346492,2716883.374048650,2449697.3780122500,3258332.946850350,3021875.446568990
NoPaperForms Solutions Pvt. Ltd.,2018,2015.0,EdTech,Series B,1052222.26,"New New Delhi, New Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",Unknown,1253139.8507389100,1922580.8435209400,2098351.3228470700,1647411.1291620500,2253444.5727781700,2193966.1043378800
Rays Power Infra,2018,2019.0,Energy,Venture - Series Unknown,864592.32,"Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,Unknown,1443652.8494171800,1250455.565876950,1578210.467369260,1403791.6527484900,1880036.804942520,1904641.6826290400
AuthMetrik,2018,2017.0,B2B,Grant,798417.99,"Gurugram, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",Unknown,1107235.3115523200,1125538.507559690,1197591.1486535200,1674931.5614406000,1668946.4835774000,1739207.0326274400
Khidki,2018,2017.0,Artificial Intelligence,Seed,1460322.54,"Bengaluru, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,Unknown,1849908.6095096000,2761546.1778673600,2080388.924915960,2502416.1850880300,3095167.903249990,3595969.4642163700
LetsTransport,2018,2014.0,Logistics,Series B,816260.85,"Bengaluru, Karnataka, India",Lets transport is a logistics solution provider.,Unknown,1070207.4083977300,1504669.1667788700,1378986.7316549800,1709664.1789431400,1328588.8749251600,1967138.9546057900
Next Digital Solutions,2018,2011.0,Digital Marketing,Angel,1379116.91,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,Unknown,1525597.2354889500,2249814.1692865300,2347194.7638728300,2579221.3946343000,2920773.298889110,3317544.8687900200
Portea Medical,2018,2014.0,Health Care,Debt Financing,667197.1,"Bengaluru, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,Unknown,761147.4644702490,1102823.7763988800,1017211.9173116700,1063280.964200500,1281068.3512309200,1494859.0783414200
Aavas Financiers,2018,2017.0,Finance,Post-IPO Debt,705618.4,"Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",Unknown,984289.4665838430,1073854.4860011200,1251631.5053546500,1128723.905857290,1373078.9527337100,1503570.506819020
Swiggy,2018,2018.0,Food Delivery,Series H,1572549.02,"Bengaluru, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,Unknown,2267187.7733152300,2790651.840422270,2614579.8808346900,2502922.8010705900,3153935.5011897400,3730201.156025700
Milkbasket,2018,2017.0,E-Commerce,Series A,1300882.86,"Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",Unknown,1836521.0806627500,2186432.9358697300,2077945.9511520800,2695432.1872778100,2166538.708761430,2635954.8508554800
Nutrisattva (Proliva),2018,2016.0,Fitness,Angel,597452.74,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,Unknown,683403.5837919370,791119.4688287920,1172883.0503923500,1225863.847122270,1058873.8389820100,1149765.6361019000
Toppr,2018,2013.0,EdTech,Series C,955947.54,"Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,Unknown,1496522.6708166500,1718425.264830490,1728376.75533964,1571656.472122190,1873896.0087091000,2277563.390691300
Vivriti Capital,2018,2015.0,Financial Services,Venture - Series Unknown,559316.72,"Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,Unknown,672713.5799329940,969559.7204098210,1110919.065352700,1147740.032742330,1017377.3520791700,1257094.328120260
